Size,BM,Const,Mktrf,SMB,HML,RMW,CMA,R-squared
1,1,0.014534841558068758,0.9681163684873203,1.0471072811963409,-1.1687626699215063,0.651686519606139,1.2351000872040114,0.9337918565269967
1,2,-0.0017775117640721361,1.087959204758495,0.6368518706369538,-1.0512844075741756,0.39214883002570355,0.9324275040962883,0.9727177142244128
1,3,-0.014674478998539008,0.9227561319727291,0.4999588640640324,-0.014018400062492442,-0.5359565766839975,-0.34395850023189223,0.9555673339821229
1,4,-0.011564378301730191,0.8706576759034934,0.13740443278159029,-0.2952047867537061,-1.0434243649232662,-0.6364401628249441,0.9370133007322057
1,5,0.009791517370097081,1.0442132916428095,-0.755753400792555,-1.80563561317521,0.12921525329575467,0.09337642155093985,0.9668581086265103
2,1,0.001301358824385228,1.0199352594239222,1.0297107114824335,-0.22230546242198068,-0.00146109508251413,0.2298484025909992,0.9666958911606487
2,2,-0.0015628257242611397,1.0052339505708696,0.8878722772626294,-0.1097454975972075,-0.26936265421507344,-0.13798773869454575,0.9513812930513985
2,3,-0.013091707406794086,0.9632555714007281,0.5577740867194432,0.2968060121874748,-0.8387531919755831,-0.7380205580525672,0.9175720819383668
2,4,-0.003711412168159259,0.6672901149672583,0.19130066007803864,0.2093354745024789,-1.143356763840536,-0.873258623219987,0.9409843631103568
2,5,0.01599829420490225,0.6242978494801086,0.03222247466295082,-0.5529560401740999,0.11344944476331677,-0.3530759879434114,0.615598026999324
3,1,0.0014483241083914416,1.2516419509961842,1.21842110341183,-0.5090693904862258,0.6859912763066437,0.5486435134494629,0.9656559991972173
3,2,-0.0031259098002078094,0.8548977149621693,0.5042428558050515,-0.2151390802081669,-0.33459535265069285,0.18828204272226476,0.95168342091008
3,3,-0.002975731333665778,0.8509971866003747,0.5247029751234153,0.17423756113755778,-0.6139212027214657,-0.5543185411280311,0.9508443587778707
3,4,-0.004467045169169615,0.771084203702036,0.27952918112266506,0.29566330128568874,-0.9959567796623492,-0.8095014880961746,0.895164443662088
3,5,0.0031315004618604186,0.9994046719887191,-0.4147326677085069,-0.5405752709760465,-0.37991746369571666,-0.28936910864428844,0.8640887431386304
4,1,0.0018167603828119572,1.082339264416541,1.0147401672059804,0.03381029890567924,-0.13061400428986897,-0.19832772109172633,0.9735518336549658
4,2,0.004614308064302485,0.9864263626222668,0.901096708438275,0.05311390844766248,-0.12450880534611923,-0.20142393932052682,0.9579576482541868
4,3,-0.0018619851050481855,0.9137716034267157,0.5630632897284095,0.039962376012393386,-0.23794171251148374,0.012307910839919334,0.9419976474419017
4,4,-0.0034344064615095616,0.9190570012919398,0.3626006909197131,0.4434386634732863,-0.7310599938226736,-0.6295760310861357,0.8670617288985552
4,5,-0.0015800268972225658,1.0424721767352767,-0.19312760848275082,0.05973185071001589,-0.12583967789760225,-0.2967465727846471,0.7539385072628243
5,1,0.006382709188480916,1.0070731626739362,1.0139329383330122,-0.20409897101134578,0.12229599027524843,0.087681471095232,0.9368022744045926
5,2,0.008316680378709453,0.8476067248575219,0.6020846271382324,0.08220369288533542,-0.6628788224748793,-0.2933109234070945,0.913063221312357
5,3,0.001389731633207776,0.8869995189918836,0.43646945103520496,0.13950307962781958,-0.2549581819304048,0.337317269182669,0.9351764307895388
5,4,0.0013029041671909058,0.769446297176241,0.19220967795753854,1.1115937009813108,-1.3788897353451905,-0.7299532841307734,0.9034238076161014
5,5,-0.002136814681444824,1.0675869708301549,-0.27877475372179905,0.2966072372831736,0.40258289641823397,0.5119202983547342,0.9782538443843273
