Size,Inv,Const_t,Mktrf_t,SMB_t,HML_t,RMW_t,CMA_t
1,1,2.621612030957097,7.776092188905947,5.632249503416249,-1.8148157956851405,0.7831592373928473,2.3296370840907015
1,2,2.0032185294887626,10.145896906029318,8.372148185938821,-0.32065264728447335,-1.5428860034113558,0.16018311104067454
1,3,-2.443313997759751,8.958330241066532,3.315540097451194,0.4612398555300121,-1.8898867695245534,0.1545674921437825
1,4,0.27145959706676337,6.272595852774344,1.6566633760940292,0.8882586683046572,-2.9490157186956605,-0.4385154092556349
1,5,-1.5547244350878198,6.853777198274691,-0.4143579180927831,0.7627425451425487,-1.0336173724623303,0.3494203064594136
2,1,2.63640031803859,12.128080931720937,9.052243942598608,-3.099099132149887,2.3319097625022565,3.5262871089135444
2,2,0.44156873370381466,6.561483816624505,1.3092677449935497,-0.6647683599319271,-1.9808986149062977,1.0192098736390474
2,3,-1.2591811874835825,8.224511835431375,2.950994330024531,0.7140734695754817,-3.1039435348098983,-0.6681795765175903
2,4,-2.6425964277357648,5.715232895937547,0.7716459035467513,1.83593326151535,-4.027205071133932,-2.217794954558762
2,5,-0.24469604263736583,6.6404561471412995,-2.7930752395422167,-0.5305403815008327,0.9966431368635634,2.9200007792546976
3,1,2.311821261298559,10.964100660828665,9.00347786811623,-0.7566753595313117,0.6442164570199862,0.21704482420989882
3,2,-0.6411116317031084,8.810847942965722,4.509642040195374,-0.9352138240042988,-0.3848616434669007,0.5506224489381126
3,3,-1.5301950762150172,7.430850189574182,2.868375721568127,0.07796547007313977,-1.2470785288409818,-0.5958628131456138
3,4,-2.003604355218996,7.1601704579930745,1.3535695711315037,1.1233403599916447,-4.589973786333201,-2.4816809341948596
3,5,0.2105191626375828,12.287959666875224,-1.9440708994057285,0.9174057801435859,1.441462481694384,1.095833779491058
4,1,2.065060289159351,8.897593769918663,4.853203631219092,-1.8207551429748272,1.3392970491495468,0.8326524679021665
4,2,0.7716040470567833,10.949153351514772,6.726231605936553,-1.2658877163856537,0.1809412923913991,0.2849260140556524
4,3,-2.1875205018400377,9.416671397941268,3.7838385117394147,-1.2736095212726533,-0.4275626636915576,-0.19951711739279687
4,4,-0.6007873740071888,7.825007509315098,1.5514148614928103,0.5872772604725782,-2.959457365847703,-2.173628728845844
4,5,2.0272976491317234,7.9423956967678375,-2.2924598404434833,-1.0341781913630754,1.3442316067381512,0.680582168168353
5,1,-1.1696270655905356,10.616505317790859,8.566539884797114,0.17161360087583669,-0.060172643171880535,-1.7415167406945378
5,2,-1.4255752013594936,7.590322636748248,4.047128562633508,-0.5908811364753392,-0.2706264851038359,-1.3692772198048466
5,3,-2.8852474329329163,6.220211782158538,3.7174076925744224,1.9900277354748788,-3.026519639536861,-3.375123341026954
5,4,-3.1164725848512966,8.547475621331698,1.3907806773656866,0.8077259801268114,-5.931028427970113,-4.842026954173816
5,5,0.2772291561166878,8.334545213968253,-0.980604153656157,-1.26713810813308,0.5831013652687912,-1.6499218933789241
